doc_id,서류명,발급유형,발급채널,소요영업일_최소,소요영업일_최대,수수료_온라인,수수료_방문,인증강도,유효기간_일,조건분기,출처링크,검증유형,근거문구,검증일,유효기간_근거,검증상태,비고
D011,납세증명서(국세완납),ONLINE_INSTANT,정부24/홈택스,0,0,0,0,SIMPLE,30,국외이주 여권 용도는 총 10일,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=12100000011,공적출처,처리기간 즉시(국외이주 여권용은 총 10일) / 수수료 없음,2026-09-20,,확인완료,[수정] 방문 수수료 1000원→0원(수수료 없음) / 유효기간 30일: 법제처 조문 본문 페이지 렌더 실패로 국세징수법 시행령 원문 미확보 - 지방세(시행령 제7조 30일)와 동일 구조로 추정되나 미검증 / 확인 2026-09-20
D012,지방세 납세증명서,ONLINE_INSTANT,정부24/위택스,0,0,0,0,SIMPLE,30,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13100000056,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,"지방세징수법 시행령 제7조 (발급일부터 30일, 고지된 지방세가 있으면 단축) https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&lsiSeq=242789&efYd=20220607&efGubun=Y&joAllCheck=Y&joEfOutPutYn=on&mokChaChk=N&bylChaChk=N",확인완료,"[수정] 방문 수수료 800원→0원(수수료 없음) / 유효기간 30일 근거 확보: 지방세징수법 시행령 제7조(발급일부터 30일, 고지된 지방세 있으면 단축) https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&lsiSeq=242789&efYd=20220607&efGubun=Y&joAllCheck=Y&joEfOutPutYn=on&mokChaChk=N&bylChaChk=N / 확인 2026-09-20"
D013,근로소득 원천징수영수증,CONDITIONAL,정부24/홈택스 또는 회사,0,3,0,0,SIMPLE,,당해연도분은 회사 발급만 가능,https://hometax.go.kr,공적출처,,,,확인필요,정부24에 대응 민원 없음(홈택스 직접) - 소요일/수수료 명시 페이지 미확보
D014,건강보험 자격득실확인서,ONLINE_INSTANT,정부24/건보공단,0,0,0,0,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=PG4CADM0107,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,취업여부 판정 핵심 / 확인 2026-09-20
D015,건강보험료 납부확인서,ONLINE_INSTANT,정부24/건보공단,0,0,0,0,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=SG4CADM2017,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,2001년 이후 납부분 / 소득 대리지표 / 확인 2026-09-20
D016,건강보험 자격확인서,ONLINE_INSTANT,정부24/건보공단,0,0,0,0,SIMPLE,90,,https://www.gov.kr/portal/service/serviceInfo/PTR000050332,공적출처,,,,확인필요,딥링크는 확보했으나 페이지 본문 미확인 - 소요일/수수료 직접 확인 후 승격
D017,고용보험 피보험자격 이력내역서,ONLINE_INSTANT,정부24/근로복지공단,0,0,0,0,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14920000084,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,고용·산재보험 제증명 발급 민원에 포함 / 미취업 요건 판정 핵심 / 확인 2026-09-20
D018,국민연금 가입자 가입증명,ONLINE_INSTANT,정부24/국민연금공단,0,0,0,0,SIMPLE,90,공단 홈페이지·모바일앱·정부24·무인민원발급기(영문 불가),https://www.nps.or.kr/elctcvlcpt/comm/getOHAC0000M5.do?menuId=MN24001054,공적출처,공단 전자민원 공시 '즉시(3시간 이내) 발급' / 수수료 없음,2026-09-20,,확인완료,[해소] 공단 전자민원 공시 '즉시(3시간 이내) 발급' - CSV 0일 유지. 정부24 민원안내(CappBizCD=14600000312)의 '총 3일'은 공단 공시와 불일치하며 수수료 없음 근거는 해당 정부24 페이지 / 확인 2026-09-20
D019,4대 사회보험 가입자 가입내역 확인서,ONLINE_INSTANT,정부24/4대보험 정보연계센터,0,0,0,0,SIMPLE,90,,https://www.gov.kr/portal/service/serviceInfo/B55201500032,공적출처,,,,확인필요,"딥링크 확보, 본문 미확인 / 정부24 공지에 발급 서비스 일시중단 이력 있음 - 가용성 리스크"
D020,졸업증명서(대학),ANYWHERE_VISIT,정부24 신청+주민센터 수령,1,3,,,SIMPLE,90,"대학 홈페이지 직접 발급 시 0일 / 수수료는 국립대는 「국립학교의 각종 증명 발급 등에 관한 규칙」, 사립대는 학칙에 따라 상이 - 단일값 불가",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13404000009,공적출처,,,,확인필요,[갱신] 전용 민원 페이지(대학(교) 졸업(예정)증명서 발급)로 링크 교체. 해당 페이지 처리기간 표기는 '즉시'이며 수수료는 금액 미공시('수수료 징수규칙 및 어디서나민원 처리지침에 따름'). 기존 1000원은 근거 없어 삭제. 어디서나민원 수령까지의 1~3일은 여전히 근거 미확보
D021,졸업증명서(초중고),ONLINE_INSTANT,정부24,0,0,0,0,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13410000020,공적출처,처리기간 즉시(근무시간 내 3시간) / 전자(인터넷)민원 발급 무료,2026-09-20,,확인완료,전자(인터넷)민원 발급 무료 / PDF 출력은 PC에서만 / 확인 2026-09-20
D022,재학증명서(대학),ANYWHERE_VISIT,정부24 신청+주민센터 수령,1,3,,,SIMPLE,30,"대학 홈페이지 직접 발급 시 0일 / 수수료는 국립대는 「국립학교의 각종 증명 발급 등에 관한 규칙」, 사립대는 학칙에 따라 상이 - 단일값 불가",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13404000010,공적출처,,,,확인필요,[갱신] 전용 민원 페이지(대학교 재학 증명)로 링크 교체. 해당 페이지 처리기간 표기는 '즉시'이며 수수료는 금액 미공시('수수료 징수규칙 및 어디서나민원 처리지침에 따름'). 기존 1000원은 근거 없어 삭제. 어디서나민원 수령까지의 1~3일은 여전히 근거 미확보
D023,성적증명서(대학),ANYWHERE_VISIT,정부24 신청+주민센터 수령,1,3,,,SIMPLE,90,"대학 홈페이지 직접 발급 시 0일 / 수수료는 국립대는 「국립학교의 각종 증명 발급 등에 관한 규칙」, 사립대는 학칙에 따라 상이 - 단일값 불가",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13404000008,공적출처,,,,확인필요,[갱신] 전용 민원 페이지(대학교 성적 증명)로 링크 교체. 해당 페이지 처리기간 표기는 '즉시'이며 수수료는 금액 미공시('수수료 징수규칙 및 어디서나민원 처리지침에 따름'). 기존 1000원은 근거 없어 삭제. 어디서나민원 수령까지의 1~3일은 여전히 근거 미확보
D024,건축물대장 등초본,ONLINE_INSTANT,정부24,0,0,0,500,NONE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=15000000098,공적출처,"처리기간 즉시(근무시간 내 3시간) / 방문 발급 500원·열람 300원, 인터넷 무료",2026-09-20,,확인완료,방문 발급 500원·방문 열람 300원·인터넷 무료 / 본인인증 불필요 / 확인 2026-09-20
D025,병적증명서,ONLINE_INSTANT,정부24/병무청,0,1,0,0,SIMPLE,90,복무필·미필자 즉시 / 병역면제자 등 총 1일,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13000000016,공적출처,처리기간 즉시(병역면제자 등 총 1일) / 수수료 없음,2026-09-20,,확인완료,[수정] 최대 소요일 0→1 / 남성 대상 / 확인 2026-09-20
D026,장애인증명서,ONLINE_INSTANT,정부24,0,0,0,0,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000273,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,확인 2026-09-20
D027,출입국에 관한 사실증명,ONLINE_INSTANT,정부24,0,0,0,2000,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=12700000024,공적출처,"처리기간 즉시(근무시간 내 3시간) / 방문 1통 2,000원, 인터넷 무료",2026-09-20,,확인완료,[수정] 방문 수수료 0원→2000원(1통) / 인터넷 무료 / 거주요건 확인용 / 확인 2026-09-20
D028,기초생활수급자 증명서,ONLINE_INSTANT,정부24,0,0,0,0,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000280,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,확인 2026-09-20
D029,차상위계층 확인서,ONLINE_INSTANT,정부24,0,0,0,0,SIMPLE,90,확인서 발급 가능 유형에 한함,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13520000098,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,확인 2026-09-20
D030,등기사항전부증명서(부동산),ONLINE_INSTANT,인터넷등기소,0,0,1000,1200,NONE,90,,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&lsiSeq=235183&efYd=20210906&efGubun=Y&joAllCheck=Y&joEfOutPutYn=on&mokChaChk=N&bylChaChk=N,공적출처,,,,확인필요,"[수정] 인터넷 발급 700원→1000원. 등기사항증명서 등 수수료규칙(대법원규칙 제2994호, 2021.9.6.) 제2조제1항 방문 발급 1통 20장까지 1200원, 제2조제2항 무인발급기·인터넷 발급 1000원, 제3조제1항 방문 열람 1200원, 제3조제2항 인터넷 열람 700원 → 기존 700원은 '열람' 수수료였음. 수수료는 확정, 소요일 근거는 미확보로 확인필요 유지"
D031,확정일자 부여현황,ONLINE_INSTANT,인터넷등기소/주민센터,0,0,0,0,SIMPLE,90,,http://www.iros.go.kr,공적출처,,,,확인필요,수수료·소요일 명시 공식 페이지 미확보
D032,재직증명서,THIRD_PARTY,재직 회사,1,5,,0,NONE,90,회사 규정에 따름,,기관자율,,,,확인필요,공적 출처 페이지가 존재할 수 없는 행 - 현행 규칙상 영구 확인필요. 스키마 결정 필요(문서 하단 참조)
D033,퇴직증명서,THIRD_PARTY,이전 직장,1,5,,0,NONE,90,,,기관자율,,,,확인필요,공적 출처 없음 / 연락 두절 시 고용보험 이력내역서(D017)로 대체
D034,근로계약서 사본,SELF_HELD,본인 보관,0,0,0,0,NONE,,미보관 시 회사 요청 필요,,본인보관,,,,확인필요,공적 출처 없음
D035,임대차계약서 사본,SELF_HELD,본인 보관,0,0,0,0,NONE,,,,본인보관,,,,확인필요,공적 출처 없음
D036,통장 사본,SELF_HELD,모바일뱅킹,0,0,0,0,SIMPLE,,,,본인보관,,,,확인필요,공적 출처 없음 / 사실상 즉시
